chekin_id,gym_id,user_id,timestamp,equipment,duration_min
C1,G5,U219,2025-10-06 09:22:53,Lat Pulldown,71
C2,G7,U59,2025-09-29 14:50:27,Leg Press,114
C3,G1,U103,2025-10-05 03:33:21,Squat Rack,99
C4,G4,U499,2025-10-01 21:51:17,Leg Press,37
C5,G6,U287,2025-10-03 09:25:41,Elliptical,104
C6,G2,U288,2025-09-27 02:09:54,Shoulder press,92
C7,G3,U362,2025-09-22 18:55:24,Weight bench,61
C8,G5,U171,2025-10-03 00:45:32,Squat Rack,33
C9,G5,U24,2025-10-14 16:54:18,Rowing Machine,83
C10,G9,U492,2025-09-28 00:11:33,Stationary Bike,58
C11,G3,U350,2025-10-08 07:58:31,Treadmill,109
C12,G2,U214,2025-10-01 07:42:45,Chest press,95
C13,G2,U58,2025-10-11 14:48:50,Stationary Bike,22
C14,G6,U400,2025-10-07 09:09:13,Leg Press,76
C15,G3,U323,2025-09-30 16:11:38,Treadmill,40
C16,G5,U175,2025-10-13 14:53:57,Chest press,108
C17,G9,U29,2025-10-03 16:26:16,Chest press,46
C18,G8,U406,2025-10-07 18:57:18,Treadmill,32
C19,G2,U44,2025-10-14 00:27:25,Ab Machine,115
C20,G8,U146,2025-10-21 04:28:29,Shoulder press,36
C21,G4,U204,2025-10-13 02:11:22,Weight bench,94
C22,G9,U427,2025-09-29 03:09:37,Bench Press,50
C23,G7,U226,2025-10-21 18:20:47,Ab Machine,70
C24,G1,U328,2025-09-29 20:14:05,Shoulder press,102
C25,G6,U383,2025-10-15 08:54:53,Rowing Machine,49
C26,G6,U306,2025-10-21 06:40:01,Treadmill,74
C27,G7,U368,2025-10-07 08:46:15,Leg Press,62
C28,G5,U210,2025-10-10 02:44:19,Bench Press,45
C29,G1,U478,2025-10-05 10:59:23,Chest press,48
C30,G7,U19,2025-10-07 17:35:51,Lat Pulldown,32
C31,G2,U157,2025-09-25 03:29:40,Leg Press,20
C32,G5,U246,2025-10-07 08:36:29,Weight bench,107
C33,G8,U29,2025-10-01 13:06:10,Bench Press,76
C34,G9,U340,2025-09-22 14:33:27,Stationary Bike,29
C35,G5,U128,2025-10-04 10:07:24,Shoulder press,16
C36,G9,U262,2025-10-03 02:43:48,Bench Press,64
C37,G1,U273,2025-10-20 23:54:15,Stationary Bike,48
C38,G2,U485,2025-09-23 01:46:47,Elliptical,77
C39,G7,U34,2025-09-23 23:12:05,Weight bench,23
C40,G3,U150,2025-10-20 04:50:07,Treadmill,93
C41,G3,U136,2025-10-03 23:31:24,Stationary Bike,19
C42,G3,U219,2025-10-06 22:20:40,Rowing Machine,67
C43,G2,U238,2025-10-22 01:13:32,Weight bench,18
C44,G8,U324,2025-09-28 02:24:49,Weight bench,87
C45,G5,U258,2025-09-30 18:41:03,Treadmill,97
C46,G1,U355,2025-10-15 14:21:18,Ab Machine,15
C47,G3,U467,2025-10-08 15:36:50,Leg Press,81
C48,G4,U366,2025-09-22 23:36:43,Squat Rack,117
C49,G8,U88,2025-10-22 00:00:47,Squat Rack,29
C50,G8,U76,2025-09-25 20:36:03,Ab Machine,67
C51,G4,U215,2025-10-02 08:59:27,Rowing Machine,70
C52,G9,U262,2025-10-02 14:42:36,Bench Press,98
C53,G8,U103,2025-10-09 21:29:36,Elliptical,82
C54,G7,U299,2025-10-04 13:29:57,Ab Machine,21
C55,G1,U377,2025-09-23 17:17:35,Leg Press,16
C56,G1,U412,2025-09-30 18:23:22,Ab Machine,68
C57,G4,U189,2025-09-30 12:42:22,Shoulder press,107
C58,G1,U167,2025-10-05 01:40:29,Rowing Machine,90
C59,G5,U238,2025-10-19 08:57:13,Ab Machine,94
C60,G5,U388,2025-10-11 12:23:42,Lat Pulldown,24
C61,G4,U85,2025-10-21 14:07:34,Chest press,28
C62,G4,U53,2025-10-07 18:29:37,Treadmill,64
C63,G2,U316,2025-10-13 00:01:34,Squat Rack,103
C64,G9,U366,2025-10-13 12:49:02,Squat Rack,52
C65,G8,U289,2025-10-03 02:13:04,Stationary Bike,28
C66,G6,U347,2025-09-30 17:35:37,Lat Pulldown,103
C67,G1,U184,2025-09-27 08:09:05,Rowing Machine,76
C68,G6,U435,2025-09-30 12:53:13,Elliptical,84
C69,G8,U92,2025-10-11 12:00:44,Squat Rack,21
C70,G7,U433,2025-10-19 15:59:27,Stationary Bike,97
C71,G4,U100,2025-10-16 12:34:35,Elliptical,66
C72,G5,U59,2025-09-25 18:58:27,Elliptical,18
C73,G4,U341,2025-10-06 05:16:52,Weight bench,105
C74,G2,U330,2025-10-05 22:54:44,Leg Press,18
C75,G7,U66,2025-09-26 09:19:23,Treadmill,50
C76,G7,U202,2025-10-05 08:18:52,Stationary Bike,87
C77,G2,U175,2025-10-03 21:14:46,Bench Press,112
C78,G1,U427,2025-09-24 17:39:05,Bench Press,87
C79,G6,U375,2025-10-18 20:46:37,Leg Press,28
C80,G5,U432,2025-10-21 06:19:13,Rowing Machine,49
C81,G2,U131,2025-10-14 02:46:42,Treadmill,70
C82,G9,U57,2025-10-18 07:49:01,Rowing Machine,114
C83,G3,U251,2025-10-04 09:18:07,Squat Rack,71
C84,G1,U185,2025-10-18 01:10:34,Leg Press,60
C85,G7,U164,2025-09-24 19:47:21,Treadmill,72
C86,G6,U94,2025-10-13 08:34:57,Rowing Machine,111
C87,G4,U311,2025-10-10 01:13:59,Squat Rack,52
C88,G2,U18,2025-09-26 02:25:13,Leg Press,28
C89,G2,U483,2025-09-25 19:27:44,Squat Rack,67
C90,G2,U455,2025-10-14 15:22:11,Weight bench,71
C91,G8,U287,2025-09-23 00:47:20,Weight bench,110
C92,G2,U448,2025-10-04 12:17:06,Bench Press,104
C93,G3,U194,2025-10-14 13:03:58,Treadmill,18
C94,G2,U458,2025-10-16 00:37:08,Lat Pulldown,35
C95,G6,U325,2025-10-18 13:58:46,Rowing Machine,46
C96,G1,U498,2025-09-27 04:37:49,Elliptical,42
C97,G9,U279,2025-10-02 11:06:49,Stationary Bike,72
C98,G9,U171,2025-10-11 02:40:11,Bench Press,71
C99,G6,U357,2025-09-28 13:19:48,Weight bench,115
C100,G9,U354,2025-09-23 20:58:48,Treadmill,64
C101,G4,U217,2025-09-27 04:39:56,Treadmill,106
C102,G4,U492,2025-09-30 12:14:54,Rowing Machine,92
C103,G1,U160,2025-10-05 06:45:56,Elliptical,28
C104,G1,U84,2025-10-03 09:27:21,Elliptical,19
C105,G1,U425,2025-09-25 12:49:42,Squat Rack,74
C106,G8,U303,2025-10-19 20:40:20,Leg Press,49
C107,G2,U378,2025-10-11 05:46:08,Treadmill,89
C108,G4,U342,2025-09-25 07:38:38,Weight bench,29
C109,G9,U141,2025-10-01 23:36:07,Rowing Machine,37
C110,G9,U167,2025-10-15 00:10:10,Stationary Bike,34
C111,G9,U71,2025-09-24 07:47:57,Leg Press,68
C112,G3,U313,2025-09-27 08:58:24,Treadmill,16
C113,G7,U315,2025-09-25 01:45:30,Shoulder press,60
C114,G2,U10,2025-09-23 03:13:41,Ab Machine,75
C115,G3,U150,2025-10-12 00:34:47,Ab Machine,94
C116,G9,U90,2025-10-08 13:57:29,Chest press,114
C117,G8,U137,2025-10-17 09:27:07,Treadmill,75
C118,G3,U349,2025-10-17 03:44:15,Rowing Machine,15
C119,G2,U378,2025-10-20 05:38:00,Chest press,91
C120,G1,U417,2025-10-20 15:23:14,Rowing Machine,102
C121,G3,U152,2025-10-15 03:23:55,Leg Press,27
C122,G7,U182,2025-10-04 05:24:39,Leg Press,94
C123,G3,U7,2025-09-28 17:56:56,Ab Machine,98
C124,G8,U220,2025-10-15 16:58:03,Ab Machine,39
C125,G7,U276,2025-10-20 19:35:06,Treadmill,77
C126,G9,U181,2025-09-26 18:47:34,Bench Press,61
C127,G9,U494,2025-09-23 13:46:13,Weight bench,118
C128,G5,U319,2025-10-01 16:18:37,Rowing Machine,98
C129,G8,U404,2025-10-11 04:00:16,Stationary Bike,37
C130,G4,U81,2025-10-12 03:27:46,Treadmill,38
C131,G8,U25,2025-10-18 02:28:11,Ab Machine,96
C132,G2,U255,2025-09-28 23:49:14,Treadmill,105
C133,G1,U255,2025-09-23 09:48:55,Squat Rack,74
C134,G4,U98,2025-09-29 13:44:30,Bench Press,58
C135,G9,U215,2025-09-23 07:32:43,Stationary Bike,34
C136,G5,U25,2025-10-01 00:47:07,Bench Press,85
C137,G4,U485,2025-10-17 16:20:06,Rowing Machine,22
C138,G4,U476,2025-10-18 12:43:58,Rowing Machine,42
C139,G7,U301,2025-10-06 07:21:56,Rowing Machine,110
C140,G2,U368,2025-10-10 16:38:13,Leg Press,117
C141,G7,U71,2025-09-23 20:39:15,Leg Press,101
C142,G6,U264,2025-10-16 17:35:22,Elliptical,45
C143,G5,U260,2025-10-02 18:06:07,Squat Rack,95
C144,G8,U131,2025-10-12 17:54:29,Leg Press,33
C145,G5,U105,2025-10-19 03:06:50,Rowing Machine,60
C146,G5,U170,2025-10-01 14:25:16,Weight bench,92
C147,G4,U446,2025-10-17 01:51:07,Stationary Bike,16
C148,G1,U200,2025-10-15 15:45:27,Bench Press,70
C149,G2,U145,2025-10-04 20:59:05,Shoulder press,15
C150,G1,U256,2025-10-11 08:48:48,Bench Press,80
C151,G3,U31,2025-10-21 07:16:55,Stationary Bike,16
C152,G7,U404,2025-10-11 04:52:34,Bench Press,19
C153,G7,U407,2025-09-22 21:37:00,Leg Press,52
C154,G3,U299,2025-10-04 06:56:04,Bench Press,28
C155,G9,U118,2025-10-09 04:45:36,Shoulder press,114
C156,G5,U321,2025-10-05 14:58:38,Bench Press,57
C157,G9,U43,2025-10-06 14:17:25,Bench Press,93
C158,G8,U238,2025-10-04 02:28:15,Chest press,48
C159,G9,U65,2025-09-30 23:45:11,Bench Press,65
C160,G4,U109,2025-09-26 00:53:08,Rowing Machine,61
C161,G1,U364,2025-10-16 22:35:52,Lat Pulldown,107
C162,G7,U320,2025-10-09 01:17:16,Chest press,95
C163,G3,U369,2025-10-22 08:11:01,Bench Press,56
C164,G9,U338,2025-10-01 02:03:03,Elliptical,91
C165,G3,U177,2025-10-03 08:58:32,Ab Machine,70
C166,G4,U135,2025-10-18 00:53:43,Lat Pulldown,117
C167,G5,U134,2025-10-13 12:02:42,Squat Rack,70
C168,G9,U37,2025-10-20 09:27:23,Bench Press,67
C169,G9,U243,2025-10-22 07:52:14,Stationary Bike,15
C170,G1,U275,2025-09-25 23:25:10,Squat Rack,91
C171,G2,U462,2025-10-14 02:22:04,Elliptical,112
C172,G2,U134,2025-10-02 00:08:46,Weight bench,92
C173,G4,U446,2025-09-30 12:12:45,Chest press,51
C174,G4,U28,2025-09-23 23:16:24,Treadmill,33
C175,G1,U255,2025-10-21 21:46:25,Rowing Machine,94
C176,G1,U197,2025-10-13 21:35:21,Rowing Machine,53
C177,G6,U29,2025-10-08 06:40:43,Squat Rack,45
C178,G3,U475,2025-10-05 05:21:13,Treadmill,82
C179,G6,U104,2025-10-22 05:53:51,Elliptical,111
C180,G2,U9,2025-10-17 19:19:39,Ab Machine,41
C181,G4,U52,2025-10-18 14:15:38,Treadmill,59
C182,G6,U97,2025-10-10 11:16:22,Chest press,61
C183,G2,U397,2025-10-09 19:49:10,Treadmill,53
C184,G5,U56,2025-10-11 14:55:36,Stationary Bike,41
C185,G6,U323,2025-10-13 16:27:22,Treadmill,106
C186,G9,U369,2025-10-08 04:17:10,Squat Rack,89
C187,G4,U443,2025-10-10 04:10:06,Treadmill,37
C188,G6,U103,2025-10-09 22:13:58,Elliptical,83
C189,G3,U162,2025-10-05 05:18:23,Treadmill,72
C190,G1,U297,2025-09-23 22:41:14,Rowing Machine,71
C191,G2,U490,2025-09-27 07:29:48,Bench Press,116
C192,G4,U237,2025-10-07 19:51:19,Rowing Machine,115
C193,G9,U335,2025-10-22 04:53:51,Weight bench,69
C194,G4,U42,2025-09-28 18:14:25,Bench Press,46
C195,G8,U289,2025-10-01 15:56:36,Chest press,62
C196,G5,U159,2025-10-11 00:19:47,Weight bench,81
C197,G1,U91,2025-10-21 19:53:41,Chest press,101
C198,G4,U62,2025-10-03 16:53:51,Lat Pulldown,18
C199,G1,U179,2025-10-02 08:46:23,Weight bench,47
C200,G6,U120,2025-10-07 23:39:14,Rowing Machine,74
C201,G3,U13,2025-10-13 09:03:30,Bench Press,78
C202,G2,U35,2025-10-18 21:40:18,Shoulder press,89
C203,G7,U51,2025-10-21 02:37:21,Leg Press,118
C204,G6,U107,2025-09-26 16:29:28,Ab Machine,17
C205,G9,U329,2025-10-21 01:46:14,Weight bench,76
C206,G3,U310,2025-10-09 17:18:11,Chest press,36
C207,G6,U395,2025-09-25 17:16:15,Treadmill,18
C208,G3,U89,2025-09-27 02:07:50,Weight bench,63
C209,G4,U304,2025-10-11 10:11:25,Ab Machine,50
C210,G7,U123,2025-10-10 20:45:06,Treadmill,69
C211,G9,U195,2025-10-09 15:37:53,Chest press,62
C212,G9,U169,2025-10-05 16:12:51,Leg Press,51
C213,G5,U474,2025-10-09 22:28:25,Leg Press,82
C214,G1,U346,2025-09-28 10:23:01,Squat Rack,39
C215,G7,U383,2025-09-26 14:10:21,Ab Machine,69
C216,G6,U147,2025-09-23 16:24:55,Bench Press,117
C217,G2,U148,2025-10-04 22:38:22,Elliptical,36
C218,G5,U475,2025-10-07 04:48:38,Chest press,59
C219,G8,U212,2025-10-10 06:01:29,Stationary Bike,88
C220,G7,U159,2025-10-04 01:16:58,Elliptical,52
C221,G9,U155,2025-10-18 04:40:31,Shoulder press,15
C222,G6,U125,2025-09-22 22:47:41,Squat Rack,91
C223,G1,U412,2025-10-17 05:37:27,Squat Rack,84
C224,G3,U104,2025-10-15 09:59:51,Elliptical,16
C225,G3,U469,2025-09-25 05:22:18,Stationary Bike,102
C226,G3,U222,2025-10-01 22:14:17,Ab Machine,101
C227,G1,U123,2025-10-19 16:17:25,Weight bench,52
C228,G1,U109,2025-10-15 00:58:11,Squat Rack,69
